	ImageNumber	ObjectNumber	Intensity_MeanIntensity_Ch01	Intensity_MeanIntensity_Ch02	FileName_DAPI	Sample_Name
1003	4	17	0.16631264	0.141462423	2i_1a_ch00.tif	2i
1004	4	18	0.133849051	0.279215695	2i_1a_ch00.tif	2i
1005	4	19	0.136252728	0.291023973	2i_1a_ch00.tif	2i
1006	4	20	0.14821656	0.132623976	2i_1a_ch00.tif	2i
1007	4	21	0.150874725	0.14026066	2i_1a_ch00.tif	2i
1008	4	22	0.122938566	0.182640527	2i_1a_ch00.tif	2i
1009	4	23	0.139914052	0.141069035	2i_1a_ch00.tif	2i
1010	4	24	0.162075268	0.29605002	2i_1a_ch00.tif	2i
1011	4	25	0.161432345	0.27746268	2i_1a_ch00.tif	2i
1012	4	26	0.146250142	0.147014516	2i_1a_ch00.tif	2i
